Date,Day,Time_Slot,In_Delta,Out_Delta,Visit_Count,Floating_Population,Unique_Total
2026.3.31,Tuesday,11:40,0,2,2,9,9
2026.3.31,Tuesday,11:41,6,10,16,9,16
2026.3.31,Tuesday,11:42,1,3,4,11,26
2026.3.31,Tuesday,11:43,14,14,28,14,33
2026.3.31,Tuesday,11:44,1,5,6,7,37
2026.3.31,Tuesday,11:45,12,12,24,13,48
2026.3.31,Tuesday,11:46,5,12,17,14,55
2026.3.31,Tuesday,11:47,8,10,18,14,64
2026.3.31,Tuesday,11:48,20,18,38,15,73
2026.3.31,Tuesday,11:49,7,8,15,18,83
2026.3.31,Tuesday,11:50,15,16,31,12,92
2026.3.31,Tuesday,11:51,2,5,7,12,101
2026.3.31,Tuesday,11:52,17,14,31,15,109
2026.3.31,Tuesday,11:53,9,14,23,24,126
2026.3.31,Tuesday,11:54,25,18,43,22,134
2026.3.31,Tuesday,11:55,6,3,9,16,147
2026.3.31,Tuesday,11:56,20,10,30,9,154
2026.3.31,Tuesday,11:57,36,29,65,12,162
2026.3.31,Tuesday,11:58,9,7,16,14,170
2026.3.31,Tuesday,11:59,9,7,16,11,178
2026.3.31,Tuesday,12:00,14,9,23,8,182
2026.3.31,Tuesday,12:01,10,7,17,11,189
2026.3.31,Tuesday,12:02,3,2,5,12,197
2026.4.2,Thursday,8:46,2,8,10,11,11
2026.4.2,Thursday,8:47,31,47,78,19,26
2026.4.2,Thursday,8:48,24,37,61,17,35
2026.4.2,Thursday,8:49,8,15,23,15,45
2026.4.2,Thursday,8:50,6,21,27,22,58
2026.4.2,Thursday,8:51,14,28,42,18,71
2026.4.2,Thursday,8:52,1,5,6,11,76
2026.4.2,Thursday,8:53,0,4,4,9,82
2026.4.2,Thursday,8:54,3,7,10,16,94
2026.4.2,Thursday,8:55,11,17,28,13,98
2026.4.2,Thursday,8:56,2,7,9,11,107
2026.4.2,Thursday,8:57,0,2,2,14,114
2026.4.2,Thursday,8:58,2,4,6,12,123
2026.4.2,Thursday,8:59,1,2,3,7,126
2026.4.2,Thursday,9:00,0,1,1,12,137
2026.4.2,Thursday,9:01,0,0,0,3,138
2026.4.2,Thursday,9:02,0,4,4,6,143
2026.4.2,Thursday,9:03,0,1,1,9,147
2026.4.2,Thursday,9:04,0,0,0,1,148
2026.4.2,Thursday,9:05,0,2,2,3,151
2026.4.2,Thursday,9:06,1,0,1,4,152
2026.4.2,Thursday,9:07,0,0,0,4,156
2026.4.2,Thursday,9:08,0,0,0,5,159
2026.4.2,Thursday,9:09,0,0,0,6,164
2026.4.2,Thursday,9:10,1,2,3,9,171
2026.4.2,Thursday,9:11,1,0,1,8,176
2026.4.2,Thursday,9:12,0,0,0,7,179
2026.4.2,Thursday,9:13,0,0,0,8,185
2026.4.2,Thursday,9:14,5,5,10,9,188
2026.4.2,Thursday,9:15,5,5,10,10,196
2026.4.2,Thursday,9:16,4,6,10,7,201
2026.4.2,Thursday,9:17,0,0,0,7,205
2026.4.2,Thursday,9:18,1,2,3,5,208
2026.4.2,Thursday,14:47,3,3,6,16,16
2026.4.2,Thursday,14:48,3,1,4,15,26
2026.4.2,Thursday,14:49,3,4,7,14,31
2026.4.2,Thursday,14:50,0,1,1,13,39
2026.4.2,Thursday,14:51,0,1,1,11,46
2026.4.2,Thursday,14:52,0,2,2,9,52
2026.4.2,Thursday,14:53,3,0,3,9,57
2026.4.2,Thursday,14:54,0,0,0,9,63
2026.4.2,Thursday,14:55,4,2,6,6,67
2026.4.2,Thursday,14:56,8,5,13,10,76
2026.4.2,Thursday,14:57,1,0,1,7,80
2026.4.2,Thursday,14:58,0,0,0,13,91
2026.4.2,Thursday,14:59,0,0,0,6,94
2026.4.2,Thursday,15:00,7,7,14,11,101
2026.4.2,Thursday,15:01,6,8,14,15,109
2026.4.2,Thursday,15:02,1,1,2,13,114
2026.4.2,Thursday,15:03,6,6,12,11,122
2026.4.2,Thursday,15:04,4,3,7,3,123
2026.4.2,Thursday,15:05,0,0,0,8,129
2026.4.2,Thursday,15:06,0,1,1,10,136
2026.4.2,Thursday,15:07,2,4,6,9,142
2026.4.2,Thursday,17:56,0,0,0,14,14
2026.4.2,Thursday,17:57,0,0,0,15,23
2026.4.2,Thursday,17:58,2,0,2,14,28
2026.4.2,Thursday,17:59,1,0,1,11,35
2026.4.2,Thursday,18:00,2,1,3,13,43
2026.4.2,Thursday,18:01,0,1,1,15,55
2026.4.2,Thursday,18:02,1,1,2,14,60
2026.4.2,Thursday,18:03,0,1,1,14,66
2026.4.2,Thursday,18:04,1,2,3,15,75
2026.4.2,Thursday,18:05,0,0,0,12,81
2026.4.2,Thursday,18:06,2,0,2,14,90
2026.4.2,Thursday,18:07,1,0,1,6,94
2026.4.2,Thursday,18:08,0,0,0,10,103
2026.4.2,Thursday,18:09,0,1,1,13,113
2026.4.2,Thursday,18:10,4,2,6,14,120
2026.4.2,Thursday,18:11,4,5,9,16,130
2026.4.2,Thursday,18:12,3,2,5,13,134
2026.4.2,Thursday,18:13,2,0,2,10,143
2026.4.2,Thursday,18:14,1,3,4,10,148
2026.4.2,Thursday,18:15,0,1,1,10,154
